OBJECTID,SQUARE,SUFFIX,RES,PAR,LOT,CONDO_REGIME,SSL,DESCRIPTION,CAPTUREYEAR,CAPTUREACTION,AREA_NEW,CENTROIDX,CENTROIDY,MINLAT,MAXLAT,MINLONG,MAXLONG,NSSL,UBID,NUBID,LINK_TYPE,LINK_TYPE_DESCRIPTION,GIS_ID,SE_ANNO_CAD_DATA,CREATOR,CREATED,EDITOR,EDITED,WARD,GLOBALID,SHAPE_Length,SHAPE_Area
464030,2740, , , ,0021, ,2740    0021,Building,2019/04/23 00:00:00+00,U,31810.2847018,-77.033974,38.98468718,38.9843327,38.98498826,-77.03431575,-77.03360757,1,87C4XXM8+VCC-12-12-14-11,1,1,One Building One Lot,UBIDPly_90364,,,,,,4,{36949EE6-B609-4704-E063-792F520AC09B},389.660230877927,4897.99994324237
464031,2960, , , ,0818, ,2960    0818,Building,2015/04/24 00:00:00+00,E,6556.57168443,-77.02778136,38.98518906,38.98503088,38.98535745,-77.02797572,-77.02757508,2,87C4XXPC+3VG-7-7-6-6,2,4,Many Buildings Many Lots,UBIDPly_144757,,,,,,4,{36949EE6-B60A-4704-E063-792F520AC09B},139.660538111103,1009.54582837203
464032,2740, , , ,0811, ,2740    0811,Building,2015/04/24 00:00:00+00,E,473.6204052,-77.03519649,38.98430315,38.98428025,38.98432648,-77.03524741,-77.03514601,1,87C4XXM7+PWF-1-2-1-1,1,1,One Building One Lot,UBIDPly_142212,,,,,,4,{36949EE6-B60B-4704-E063-792F520AC09B},35.3731542116519,72.9176991180502
484849,2960, , , ,0818, ,2960    0818,Building,2019/04/23 00:00:00+00,U,35274.7154124,-77.02778136,38.98518906,38.98503088,38.98535745,-77.02797572,-77.02757508,2,87C4XXPC+3VG-7-7-6-6,2,4,Many Buildings Many Lots,UBIDPly_144759,,,,,,4,{36949EE6-B60C-4704-E063-792F520AC09B},383.594109027544,5325.10550697322
484850,2956, , , ,0042, ,2956    0042,Building,2015/04/24 00:00:00+00,E,11278.1034499,-77.027009,38.98029683,38.98016562,38.9804619,-77.02724436,-77.02667502,1,87C4XXJF+459-7-11-5-7,1,1,One Building One Lot,UBIDPly_122329,,,,,,4,{36949EE6-B60D-4704-E063-792F520AC09B},207.594200660468,1733.06832959654
484851,3173, , , ,0802, ,3173    0802,Building,2015/04/24 00:00:00+00,E,49775.9189556,-77.02274953,38.9751306,38.97473174,38.97566519,-77.0233326,-77.02217537,1,87C4XXGG+3W2-21-18-16-19,1,1,One Building One Lot,UBIDPly_137644,,,,,,4,{36949EE6-B60E-4704-E063-792F520AC09B},581.907702406139,7662.18272996758
484852,3191, , , ,0810, ,3191    0810,Building,2015/04/24 00:00:00+00,E,4996.33626551,-77.02022752,38.97430237,38.97429021,38.97431452,-77.02024478,-77.02021026,2,87C4XXFH+PWC-0-1-1-0,1,3,One Building Many Lots,UBIDPly_92116,,,,,,4,{36949EE6-B60F-4704-E063-792F520AC09B},137.304402069266,768.94330304151
484853,3191, , , ,0810, ,3191    0810,Building,2015/04/24 00:00:00+00,E,85.23002531,-77.02022752,38.97430237,38.97429021,38.97431452,-77.02024478,-77.02021026,2,87C4XXFH+PWC-0-1-1-0,1,3,One Building Many Lots,UBIDPly_92115,,,,,,4,{36949EE6-B610-4704-E063-792F520AC09B},14.5067107581202,13.1194811946171
484854,3283, , , ,0801, ,3283    0801,Building,2015/04/24 00:00:00+00,E,37261.0860964,-77.01780817,38.96890107,38.96868557,38.96916017,-77.01802278,-77.01750643,4,87C4XX9J+HV8-10-9-9-7,1,3,One Building Many Lots,UBIDPly_95387,,,,,,4,{36949EE6-B611-4704-E063-792F520AC09B},247.275198571609,3006.87047795961
484855,2945, , , ,0817, ,2945    0817,Building,2015/04/24 00:00:00+00,E,7910.34518618,-77.02777739,38.96843407,38.96835058,38.96851802,-77.02800207,-77.02755153,1,87C4XX9C+9VH-3-7-3-8,1,1,One Building One Lot,UBIDPly_137960,,,,,,4,{36949EE6-B612-4704-E063-792F520AC09B},144.849207370612,1154.84531730686
484856,3727, , , ,0012, ,3727    0012,Building,2015/04/24 00:00:00+00,E,15112.376944,-77.0082389,38.96774214,38.96751221,38.96795727,-77.00845301,-77.00801709,1,87C4XX9R+3PR-9-7-9-7,1,1,One Building One Lot,UBIDPly_152204,,,,,,4,{36949EE6-B613-4704-E063-792F520AC09B},224.029403349372,2325.83581203744
484857,2011, , , ,0806, ,2011    0806,Building,2015/04/24 00:00:00+00,E,1071.89991253,-77.06790647,38.96747218,38.9674465,38.96749749,-77.06794179,-77.06787083,3,87C4XW8J+XRP-1-2-1-1,1,3,One Building Many Lots,UBIDPly_140499,,,,,,4,{36949EE6-B614-4704-E063-792F520AC09B},53.6860212437887,154.927993679817
484858,2011, , , ,0806, ,2011    0806,Building,2015/04/24 00:00:00+00,E,227.33318227,-77.06790647,38.96747218,38.9674465,38.96749749,-77.06794179,-77.06787083,3,87C4XW8J+XRP-1-2-1-1,1,3,One Building Many Lots,UBIDPly_140498,,,,,,4,{36949EE6-B615-4704-E063-792F520AC09B},26.9545343406347,34.990791006548
484859,2011, , , ,0806, ,2011    0806,Building,2015/04/24 00:00:00+00,E,263.95321554,-77.06790647,38.96747218,38.9674465,38.96749749,-77.06794179,-77.06787083,3,87C4XW8J+XRP-1-2-1-1,1,3,One Building Many Lots,UBIDPly_140497,,,,,,4,{36949EE6-B616-4704-E063-792F520AC09B},23.729889066135,40.6212611949656
484860,2012, , , ,0012, ,2012    0012,Building,2017/03/09 00:00:00+00,E,65354.3981655,-77.0678429,38.96649868,38.96593447,38.96706017,-77.06845873,-77.06735583,1,87C4XW8J+HVV-23-15-22-20,1,1,One Building One Lot,UBIDPly_90602,,,,,,4,{36949EE6-B617-4704-E063-792F520AC09B},707.406080291159,10057.7949353478
484861,2978, , , ,0040, ,2978    0040,Building,2015/04/24 00:00:00+00,E,17377.8856526,-77.02710912,38.96691176,38.96673125,38.9671112,-77.02738373,-77.02673307,1,87C4XX8F+Q56-8-12-7-9,1,1,One Building One Lot,UBIDPly_112408,,,,,,4,{36949EE6-B618-4704-E063-792F520AC09B},243.68521943067,2669.73339470379
484862,3327, , , ,0002, ,3327    0002,Building,2017/03/09 00:00:00+00,E,41083.6362631,-77.01465375,38.9537978,38.95378011,38.95381548,-77.01466973,-77.01463778,2,87C4XX3P+G49-1-0-0-1,1,3,One Building Many Lots,UBIDPly_134532,,,,,,4,{36949EE6-B619-4704-E063-792F520AC09B},600.975399744582,6320.44810243066
484863,1983, , , ,0807, ,1983    0807,Building,2015/04/24 00:00:00+00,E,5770.55640668,-77.06990282,38.95423845,38.95412811,38.95431795,-77.0700865,-77.06969743,2,87C4XW3J+M2X-3-6-4-6,1,3,One Building Many Lots,UBIDPly_138604,,,,,,3,{36949EE6-B61A-4704-E063-792F520AC09B},140.957119777112,887.780185187417
484864,1983, , , ,0807, ,1983    0807,Building,2015/04/24 00:00:00+00,E,184.188661,-77.06990282,38.95423845,38.95412811,38.95431795,-77.0700865,-77.06969743,2,87C4XW3J+M2X-3-6-4-6,1,3,One Building Many Lots,UBIDPly_138605,,,,,,3,{36949EE6-B61B-4704-E063-792F520AC09B},20.5672370650813,26.3647052315947
484865,1759, , , ,0807, ,1759    0807,Building,2015/04/24 00:00:00+00,E,52.3851955,-77.07808225,38.95334181,38.95331407,38.95336955,-77.07811772,-77.07804678,17,87C4XW3C+8QM-1-1-1-1,1,3,One Building Many Lots,UBIDPly_94728,,,,,,3,{36949EE6-B61C-4704-E063-792F520AC09B},11.358158621471,8.05943763070539
484866,3000, , , ,0817, ,3000    0817,Building,2015/04/24 00:00:00+00,E,11396.2520684,-77.02509118,38.9535023,38.9533138,38.95374524,-77.02518005,-77.02499285,6,87C4XX3F+CX3-9-3-8-3,1,3,One Building Many Lots,UBIDPly_92377,,,,,,4,{36949EE6-B61D-4704-E063-792F520AC09B},184.774771879867,1753.24502960683
484867,3757, , , ,0802, ,3757    0802,Building,2015/04/24 00:00:00+00,E,54430.9046911,-76.99563438,38.9532649,38.95315446,38.95337533,-76.99577843,-76.99549032,4,87C5X233+8P5-5-5-4-4,1,3,One Building Many Lots,UBIDPly_177360,,,,,,5,{36949EE6-B61E-4704-E063-792F520AC09B},674.583133660795,8230.91806112268
484868,3000, , , ,0817, ,3000    0817,Building,2015/04/24 00:00:00+00,E,603.6802773,-77.02509118,38.9535023,38.9533138,38.95374524,-77.02518005,-77.02499285,6,87C4XX3F+CX3-9-3-8-3,1,3,One Building Many Lots,UBIDPly_92374,,,,,,4,{36949EE6-B61F-4704-E063-792F520AC09B},40.6743502105993,92.8752701338256
